,city,URL,title,date,time,venue,details,user,tags
154,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @the_markcast: wouldn’t be seattle’s premier @xflseadragons superfans if we missed this awesome event! 🤩

thanks for having us and love…",Twitter User @onemoreegg_,[]
155,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @the_markcast: wouldn’t be seattle’s premier @xflseadragons superfans if we missed this awesome event! 🤩

thanks for having us and love…",Twitter User @MLyons0_0,[]
156,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @the_markcast: wouldn’t be seattle’s premier @xflseadragons superfans if we missed this awesome event! 🤩

thanks for having us and love…",Twitter User @reidjohnson,[]
157,Seattle,N/A,N/A,N/A,N/A,N/A,"wouldn’t be seattle’s premier @xflseadragons superfans if we missed this awesome event! 🤩

thanks for having us and love seeing these local fan activation events!! 

#xfl
#xfl2023
@xfl2023 
@mlyons0_0 
@airmontez12 
@b_dinucci6 https://t.co/hyxmldgfgn",Twitter User @the_markcast,"['xfl', 'xfl2023']"
158,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @maggithemommy: saturday december 3rd in ballard! let us know you're coming or don't surprises are coo 

see you there!

#seattle #music…",Twitter User @KristyBooks,"['seattle', 'music']"
159,Seattle,N/A,N/A,N/A,N/A,N/A,"visiting lots of craft/gift market events this year and i’m here to report the latest local seattle/pnw art trends: jewelry that’s just gold triangles- down. art of crudely drawn floppy tits, sometimes with puns- way way up",Twitter User @JadedSketch,[]
160,Seattle,N/A,N/A,N/A,N/A,N/A,"temps are cooling down, while football season's heating up. 
park here and walk less than 5 min across the street so you don't miss a minute of the game. 

rams vs seahawks ➡️ https://t.co/jtvshdlcil
all events ➡️ https://t.co/0rdrbs5nyc https://t.co/846zf0nxt3",Twitter User @thekiaforum,[]
161,Seattle,N/A,N/A,N/A,N/A,N/A,rt @rockagothttv: seattle tekken north casuals and tournaments are going to be held online on ps4. the holiday season is going to be a busy…,Twitter User @seattletekken,[]
162,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @seattleoba: we support broadcasters of all platforms in the seattle area that want to share, learn, and collaborate!

discord: https://…",Twitter User @ArchaicVisions,[]
163,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @seattleoba: we support broadcasters of all platforms in the seattle area that want to share, learn, and collaborate!

discord: https://…",Twitter User @longttran,[]
164,Seattle,N/A,N/A,N/A,N/A,N/A,"join us at gamers heaven in lynnwood tonight for our last seattle community meetup of the year!

https://t.co/sh1fuftydp",Twitter User @SeattleOBA,[]
165,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @strsta11,[]
166,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @yamanoshin1,[]
167,Seattle,N/A,N/A,N/A,N/A,N/A,"new ahl team cochella valley firebirds play dec 18th for the first time in the newly built acrisure arena, thousand palms, ca (near palm desert). team is owned and operated affiliated of seattle kraken. acrisure arena will also host concerts and other events, schedule online.",Twitter User @janciletti,[]
168,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @ellis_hughes: excited to for the next #seattleuser meetup in a few weeks!

we'll be talking #tidytuesday, {tidytuesdayr}, {camcorder},…",Twitter User @tladeras,"['seattleuser', 'tidytuesday']"
